section,metric,value
dataset,subjects_total,61.0
dataset,visits_total,223.0
dataset,healthy_visits,8.0
regression,ARAT_R2_standard,0.4816756082351715
regression,ARAT_R2_adv,0.4916597147774304
regression,ARAT_R2_alt,0.44728233544734186
regression,FMA_R2_standard,0.33171360614167866
regression,FMA_R2_adv,0.41032126336995733
regression,FMA_R2_alt,0.3534185465265737
regression,ARAT_spearman_standard,0.7234160868459685
regression,ARAT_spearman_adv,0.7219077504758968
regression,ARAT_spearman_alt,0.727575626363435
regression,FMA_spearman_standard,0.6797415327132386
regression,FMA_spearman_adv,0.6917926618986248
regression,FMA_spearman_alt,0.6730953539145983
icc_adv,count_gt_0_75,127.0
icc_alt,count_gt_0_75,125.0
icc_standard,count_gt_0_75,127.0
