pipeline,experiment,mode,target,r2,rmse,spearman_r
adv,dim_group,full_1028,ARAT,0.4916597147774304,16.428997280673066,0.7219077504758968
adv,dim_group,full_1028,FMA,0.41032126336995733,16.41058010494247,0.6917926618986248
adv,dim_group,acc_128,ARAT,0.5616107907178027,15.256809425134305,0.7529447910600596
adv,dim_group,acc_128,FMA,0.483282286290886,15.361827162159928,0.720392729891563
adv,dim_group,acc_meanpool_64,ARAT,0.5242507907705166,15.893620214739475,0.7541054667370294
adv,dim_group,acc_meanpool_64,FMA,0.3965317774520477,16.601349876404104,0.7345489205954387
adv,dim_group,acc_stdpool_64,ARAT,0.40104854302485105,17.833213395087114,0.7080392634510756
adv,dim_group,acc_stdpool_64,FMA,0.2918289254507439,17.98395849063498,0.6739383065432367
adv,dim_group,gravity_900,ARAT,-0.17296353545284981,24.95606161374085,-0.04979678061193162
adv,dim_group,gravity_900,FMA,-0.2044671538661389,23.45382498719877,-0.031060870987733757
alt,dim_group,full_1028,ARAT,0.44728233544734186,17.131108507964047,0.727575626363435
alt,dim_group,full_1028,FMA,0.3534185465265737,17.184140746227335,0.6730953539145983
alt,dim_group,acc_128,ARAT,0.5602363825441857,15.280706767534216,0.7297057256211694
alt,dim_group,acc_128,FMA,0.46771823886440567,15.591467439860649,0.6934917141235041
alt,dim_group,acc_meanpool_64,ARAT,0.5493334747358174,15.468971663476543,0.775370067215097
alt,dim_group,acc_meanpool_64,FMA,0.5243887048088784,14.738126490406186,0.7688408522092742
alt,dim_group,acc_stdpool_64,ARAT,0.5777432789780013,14.973456976149269,0.7417367987824487
alt,dim_group,acc_stdpool_64,FMA,0.47005772653789524,15.557165856747758,0.7048244001969591
alt,dim_group,gravity_900,ARAT,-0.5171471317145433,28.382303761501714,-0.1893271864433675
alt,dim_group,gravity_900,FMA,-0.5095276028561331,26.256493647813844,-0.1383339398167977
adv,aggregation,window_mean,ARAT,0.4916597147774304,16.428997280673066,0.7219077504758968
adv,aggregation,window_mean,FMA,0.41032126336995733,16.41058010494247,0.6917926618986248
adv,aggregation,window_max,ARAT,0.1341798624678907,21.44112826558382,0.647826599445816
adv,aggregation,window_max,FMA,-0.4651845397578678,25.867970872541182,0.5193098604095494
adv,aggregation,window_mean_std_merge,ARAT,0.46108750809474974,16.91581469053513,0.7493280358318233
adv,aggregation,window_mean_std_merge,FMA,0.37197140454480326,16.935807505399904,0.7300016165070046
alt,aggregation,window_mean,ARAT,0.44728233544734186,17.131108507964047,0.727575626363435
alt,aggregation,window_mean,FMA,0.3534185465265737,17.184140746227335,0.6730953539145983
alt,aggregation,window_max,ARAT,-0.223000201677523,25.48279484889833,0.52617090875971
alt,aggregation,window_max,FMA,-0.5575023428388763,26.670462921078485,0.4748885769334159
alt,aggregation,window_mean_std_merge,ARAT,-0.18169436323416188,25.04876829929593,0.6082815506304694
alt,aggregation,window_mean_std_merge,FMA,-0.4457551640676247,25.69588474516435,0.4933268123205673
