fold,f1,auc
1,1.0,0.5
2,1.0,0.5
3,0.4666666666666667,1.0
4,0.4666666666666667,0.7142857142857143
5,1.0,0.5
6,1.0,0.5
7,0.4666666666666667,0.2857142857142857
8,1.0,0.5
9,1.0,0.5
10,1.0,0.5
11,1.0,0.5
12,1.0,0.5
13,1.0,0.5
14,1.0,0.5
15,1.0,0.5
16,1.0,0.5
17,1.0,0.5
18,0.46153846153846156,0.5
19,1.0,0.5
20,1.0,0.5
21,1.0,0.5
22,1.0,0.5
23,0.4444444444444444,0.5
24,1.0,0.5
25,1.0,0.5
26,1.0,0.5
27,1.0,0.5
28,1.0,0.5
29,1.0,0.5
30,1.0,0.5
31,1.0,0.5
32,1.0,0.5
33,1.0,0.5
34,1.0,0.5
35,1.0,0.5
36,1.0,0.5
